,0,1,2
229,193.0,95.0,1931.0
230,201.0,98.0,1934.0
231,203.0,92.0,1934.0
232,208.0,92.0,1933.0
233,183.0,73.0,1935.0
234,190.0,83.0,1932.0
235,198.0,102.0,1934.0
236,198.0,90.0,1932.0
237,208.0,97.0,1934.0
238,203.0,90.0,1933.0
239,190.0,83.0,1934.0
240,196.0,92.0,1935.0
241,196.0,86.0,1930.0
242,190.0,99.0,1932.0
243,193.0,83.0,1935.0
244,193.0,89.0,1933.0
245,203.0,104.0,1935.0
246,188.0,80.0,1935.0
247,188.0,79.0,1931.0
248,193.0,86.0,1933.0
249,201.0,99.0,1934.0
250,198.0,98.0,1932.0
251,203.0,104.0,1935.0
252,193.0,88.0,1930.0
253,196.0,102.0,1934.0
254,198.0,95.0,1935.0
255,193.0,90.0,1933.0
256,198.0,92.0,1936.0
257,203.0,92.0,1936.0
258,206.0,100.0,1936.0
259,203.0,108.0,1937.0
260,201.0,95.0,1936.0
261,198.0,97.0,1937.0
262,188.0,79.0,1936.0
263,198.0,86.0,1935.0
264,190.0,88.0,1936.0
265,196.0,97.0,1932.0
266,180.0,83.0,1936.0
267,203.0,101.0,1933.0
268,206.0,99.0,1936.0
269,206.0,97.0,1936.0
270,183.0,83.0,1935.0
271,188.0,83.0,1934.0
272,190.0,90.0,1937.0
273,193.0,86.0,1936.0
274,183.0,81.0,1932.0
275,216.0,124.0,1936.0
276,203.0,104.0,1937.0
277,196.0,90.0,1933.0
278,196.0,99.0,1937.0
279,196.0,95.0,1936.0
280,201.0,95.0,1937.0
281,201.0,99.0,1937.0
282,193.0,90.0,1937.0
283,206.0,99.0,1938.0
284,183.0,79.0,1936.0
285,203.0,97.0,1937.0
286,198.0,92.0,1938.0
287,193.0,81.0,1938.0
288,208.0,99.0,1938.0
289,180.0,81.0,1938.0
290,185.0,77.0,1938.0
291,201.0,97.0,1938.0
292,190.0,86.0,1936.0
293,196.0,92.0,1938.0
294,198.0,95.0,1938.0
295,188.0,79.0,1938.0
296,185.0,81.0,1937.0
297,211.0,102.0,1939.0
298,185.0,79.0,1939.0
299,206.0,95.0,1938.0
300,188.0,90.0,1936.0
301,188.0,79.0,1938.0
302,175.0,72.0,1938.0
303,178.0,77.0,1937.0
304,180.0,81.0,1939.0
305,185.0,83.0,1938.0
306,201.0,99.0,1938.0
307,193.0,83.0,1938.0
308,198.0,97.0,1938.0
309,208.0,102.0,1939.0
310,190.0,85.0,1939.0
311,206.0,97.0,1938.0
312,201.0,99.0,1939.0
313,185.0,81.0,1936.0
314,188.0,83.0,1937.0
315,190.0,95.0,1937.0
316,185.0,81.0,1938.0
317,206.0,102.0,1939.0
318,198.0,103.0,1939.0
319,203.0,108.0,1941.0
320,193.0,81.0,1936.0
321,198.0,99.0,1940.0
322,201.0,85.0,1940.0
323,203.0,90.0,1940.0
324,208.0,95.0,1940.0
325,190.0,77.0,1939.0
326,203.0,102.0,1938.0
327,196.0,92.0,1940.0
328,203.0,87.0,1940.0
329,190.0,86.0,1940.0
330,206.0,102.0,1939.0
331,198.0,95.0,1940.0
332,198.0,92.0,1940.0
333,196.0,95.0,1939.0
334,193.0,97.0,1934.0
335,183.0,83.0,1940.0
336,188.0,86.0,1940.0
337,198.0,96.0,1940.0
338,196.0,90.0,1936.0
339,188.0,79.0,1938.0
340,190.0,81.0,1940.0
341,188.0,79.0,1940.0
342,196.0,92.0,1941.0
343,206.0,104.0,1941.0
344,198.0,104.0,1938.0
345,188.0,79.0,1941.0
346,196.0,97.0,1939.0
347,203.0,104.0,1940.0
348,193.0,88.0,1940.0
349,193.0,83.0,1938.0
350,190.0,86.0,1939.0
351,196.0,90.0,1940.0
352,188.0,77.0,1939.0
353,193.0,88.0,1941.0
354,211.0,102.0,1941.0
355,203.0,95.0,1941.0
356,196.0,87.0,1942.0
357,203.0,95.0,1942.0
358,185.0,79.0,1938.0
359,196.0,88.0,1941.0
360,213.0,104.0,1941.0
361,201.0,102.0,1942.0
362,201.0,95.0,1942.0
363,206.0,108.0,1941.0
364,188.0,81.0,1942.0
365,193.0,102.0,1926.0
366,185.0,83.0,1941.0
367,198.0,95.0,1942.0
368,193.0,90.0,1942.0
369,201.0,104.0,1942.0
370,193.0,86.0,1942.0
371,196.0,97.0,1942.0
372,206.0,106.0,1942.0
373,201.0,99.0,1943.0
374,208.0,102.0,1941.0
375,203.0,102.0,1942.0
376,201.0,92.0,1944.0
377,201.0,88.0,1942.0
